Samples,Plant,Year,Plot,Nitrogen,Days,Soil,fertilizer,Type,Comparing,Nucelic
2001_C_2018_P3_N300_A_20180429_CABBI,Corn,2018,3,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2002_C_2018_P3_N300_B_20180429_CABBI,Corn,2018,3,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2003_C_2018_P3_N300_C_20180429_CABBI,Corn,2018,3,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2004_C_2018_P4_N0_A_20180429_CABBI,Corn,2018,4,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2005_C_2018_P4_N0_B_20180429_CABBI,Corn,2018,4,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2006_C_2018_P4_N0_C_20180429_CABBI,Corn,2018,4,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2007_C_2018_P5_N200_A_20180429_CABBI,Corn,2018,5,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2008_C_2018_P5_N200_B_20180429_CABBI,Corn,2018,5,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2009_C_2018_P5_N200_C_20180429_CABBI,Corn,2018,5,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2010_C_2018_P6_N300_A_20180429_CABBI,Corn,2018,6,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2011_C_2018_P6_N300_B_20180429_CABBI,Corn,2018,6,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2012_C_2018_P6_N300_C_20180429_CABBI,Corn,2018,6,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2013_C_2018_P7_N0_A_20180429_CABBI,Corn,2018,7,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2014_C_2018_P7_N0_B_20180429_CABBI,Corn,2018,7,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2015_C_2018_P7_N0_C_20180429_CABBI,Corn,2018,7,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2016_C_2018_P9_N200_A_20180429_CABBI,Corn,2018,9,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2017_C_2018_P9_N200_B_20180429_CABBI,Corn,2018,9,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2018_C_2018_P9_N200_C_20180429_CABBI,Corn,2018,9,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2019_C_2018_P12_N200_A_20180429_CABBI,Corn,2018,12,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2020_C_2018_P12_N200_B_20180429_CABBI,Corn,2018,12,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2021_C_2018_P12_N200_C_20180429_CABBI,Corn,2018,12,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2022_C_2018_P13_N300_A_20180429_CABBI,Corn,2018,13,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2023_C_2018_P13_N300_B_20180429_CABBI,Corn,2018,13,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2024_C_2018_P13_N300_C_20180429_CABBI,Corn,2018,13,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2025_C_2018_P14_N0_A_20180429_CABBI,Corn,2018,14,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2026_C_2018_P14_N0_B_20180429_CABBI,Corn,2018,14,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2027_C_2018_P14_N0_C_20180429_CABBI,Corn,2018,14,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2028_M_2015_P3_N400_A_20180429_CABBI,Miscanthus,2015,3,400,-10,Rizosphere,no,2015_400_-10,1,DNA
2029_M_2015_P3_N400_B_20180429_CABBI,Miscanthus,2015,3,400,-10,Rizosphere,no,2015_400_-10,1,DNA
2030_M_2015_P3_N400_C_20180429_CABBI,Miscanthus,2015,3,400,-10,Rizosphere,no,2015_400_-10,1,DNA
2031_M_2015_P4_N0_A_20180429_CABBI,Miscanthus,2015,4,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2032_M_2015_P4_N0_B_20180429_CABBI,Miscanthus,2015,4,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2033_M_2015_P4_N0_C_20180429_CABBI,Miscanthus,2015,4,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2034_M_2015_P5_N200_A_20180429_CABBI,Miscanthus,2015,5,200,-10,Rizosphere,no,2015_200_-10,1,DNA
2035_M_2015_P5_N200_B_20180429_CABBI,Miscanthus,2015,5,200,-10,Rizosphere,no,2015_200_-10,1,DNA
2036_M_2015_P5_N200_C_20180429_CABBI,Miscanthus,2015,5,200,-10,Rizosphere,no,2015_200_-10,1,DNA
2037_M_2016_P6_N400_A_20180429_CABBI,Miscanthus,2016,6,400,-10,Rizosphere,no,2016_400_-10,1,DNA
2038_M_2016_P6_N400_B_20180429_CABBI,Miscanthus,2016,6,400,-10,Rizosphere,no,2016_400_-10,1,DNA
2039_M_2016_P6_N400_C_20180429_CABBI,Miscanthus,2016,6,400,-10,Rizosphere,no,2016_400_-10,1,DNA
2040_M_2016_P7_N0_A_20180429_CABBI,Miscanthus,2016,7,0,-10,Rizosphere,no,2016_0_-10,1,DNA
2041_M_2016_P7_N0_B_20180429_CABBI,Miscanthus,2016,7,0,-10,Rizosphere,no,2016_0_-10,1,DNA
2042_M_2016_P7_N0_C_20180429_CABBI,Miscanthus,2016,7,0,-10,Rizosphere,no,2016_0_-10,1,DNA
2043_M_2016_P9_N200_A_20180429_CABBI,Miscanthus,2016,9,200,-10,Rizosphere,no,2016_200_-10,1,DNA
2044_M_2016_P9_N200_B_20180429_CABBI,Miscanthus,2016,9,200,-10,Rizosphere,no,2016_200_-10,1,DNA
2045_M_2016_P9_N200_C_20180429_CABBI,Miscanthus,2016,9,200,-10,Rizosphere,no,2016_200_-10,1,DNA
2046_M_2017_P12_N200_A_20180429_CABBI,Miscanthus,2017,12,200,-10,Rizosphere,no,2017_200_-10,2,DNA
2047_M_2017_P12_N200_B_20180429_CABBI,Miscanthus,2017,12,200,-10,Rizosphere,no,2017_200_-10,2,DNA
2048_M_2017_P12_N200_C_20180429_CABBI,Miscanthus,2017,12,200,-10,Rizosphere,no,2017_200_-10,2,DNA
2049_M_2017_P13_N400_A_20180429_CABBI,Miscanthus,2017,13,400,-10,Rizosphere,no,2017_400_-10,2,DNA
2050_M_2017_P13_N400_B_20180429_CABBI,Miscanthus,2017,13,400,-10,Rizosphere,no,2017_400_-10,2,DNA
2051_M_2017_P13_N400_C_20180429_CABBI,Miscanthus,2017,13,400,-10,Rizosphere,no,2017_400_-10,2,DNA
2052_M_2017_P14_N0_A_20180429_CABBI,Miscanthus,2017,14,0,-10,Rizosphere,no,2017_0_-10,2,DNA
2053_M_2017_P14_N0_B_20180429_CABBI,Miscanthus,2017,14,0,-10,Rizosphere,no,2017_0_-10,2,DNA
2054_M_2017_P14_N0_C_20180429_CABBI,Miscanthus,2017,14,0,-10,Rizosphere,no,2017_0_-10,2,DNA
2055_M_2016_P17_N400_A_20180429_CABBI,Miscanthus,2016,17,400,-10,Rizosphere,no,2016_400_-10,1,DNA
2056_M_2016_P17_N400_B_20180429_CABBI,Miscanthus,2016,17,400,-10,Rizosphere,no,2016_400_-10,1,DNA
2057_M_2016_P17_N400_C_20180429_CABBI,Miscanthus,2016,17,400,-10,Rizosphere,no,2016_400_-10,1,DNA
2058_M_2016_P18_N200_A_20180429_CABBI,Miscanthus,2016,18,200,-10,Rizosphere,no,2016_200_-10,1,DNA
2059_M_2016_P18_N200_B_20180429_CABBI,Miscanthus,2016,18,200,-10,Rizosphere,no,2016_200_-10,1,DNA
2060_M_2016_P18_N200_C_20180429_CABBI,Miscanthus,2016,18,200,-10,Rizosphere,no,2016_200_-10,1,DNA
2061_M_2016_P19_N0_A_20180429_CABBI,Miscanthus,2016,19,0,-10,Rizosphere,no,2016_0_-10,1,DNA
2062_M_2016_P19_N0_B_20180429_CABBI,Miscanthus,2016,19,0,-10,Rizosphere,no,2016_0_-10,1,DNA
2063_M_2016_P19_N0_C_20180429_CABBI,Miscanthus,2016,19,0,-10,Rizosphere,no,2016_0_-10,1,DNA
2064_M_2017_P22_N400_A_20180429_CABBI,Miscanthus,2017,22,400,-10,Rizosphere,no,2017_400_-10,2,DNA
2065_M_2017_P22_N400_B_20180429_CABBI,Miscanthus,2017,22,400,-10,Rizosphere,no,2017_400_-10,2,DNA
2066_M_2017_P22_N400_C_20180429_CABBI,Miscanthus,2017,22,400,-10,Rizosphere,no,2017_400_-10,2,DNA
2067_M_2017_P24_N0_A_20180429_CABBI,Miscanthus,2017,24,0,-10,Rizosphere,no,2017_0_-10,2,DNA
2068_M_2017_P24_N0_B_20180429_CABBI,Miscanthus,2017,24,0,-10,Rizosphere,no,2017_0_-10,2,DNA
2069_M_2017_P24_N0_C_20180429_CABBI,Miscanthus,2017,24,0,-10,Rizosphere,no,2017_0_-10,2,DNA
2070_M_2017_P25_N200_A_20180429_CABBI,Miscanthus,2017,25,200,-10,Rizosphere,no,2017_200_-10,2,DNA
2071_M_2017_P25_N200_B_20180429_CABBI,Miscanthus,2017,25,200,-10,Rizosphere,no,2017_200_-10,2,DNA
2072_M_2017_P25_N200_C_20180429_CABBI,Miscanthus,2017,25,200,-10,Rizosphere,no,2017_200_-10,2,DNA
2073_M_2015_P27_N400_A_20180429_CABBI,Miscanthus,2015,27,400,-10,Rizosphere,no,2015_400_-10,1,DNA
2074_M_2015_P27_N400_B_20180429_CABBI,Miscanthus,2015,27,400,-10,Rizosphere,no,2015_400_-10,1,DNA
2075_M_2015_P27_N400_C_20180429_CABBI,Miscanthus,2015,27,400,-10,Rizosphere,no,2015_400_-10,1,DNA
2076_M_2015_P28_N0_A_20180429_CABBI,Miscanthus,2015,28,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2077_M_2015_P28_N0_B_20180429_CABBI,Miscanthus,2015,28,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2078_M_2015_P28_N0_C_20180429_CABBI,Miscanthus,2015,28,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2079_M_2015_P30_N200_A_20180429_CABBI,Miscanthus,2015,30,200,-10,Rizosphere,no,2015_200_-10,1,DNA
2080_M_2015_P30_N200_B_20180429_CABBI,Miscanthus,2015,30,200,-10,Rizosphere,no,2015_200_-10,1,DNA
2081_M_2015_P30_N200_C_20180429_CABBI,Miscanthus,2015,30,200,-10,Rizosphere,no,2015_200_-10,1,DNA
2082_M_2017_P33_N200_A_20180429_CABBI,Miscanthus,2017,33,200,-10,Rizosphere,no,2017_200_-10,2,DNA
2083_M_2017_P33_N200_B_20180429_CABBI,Miscanthus,2017,33,200,-10,Rizosphere,no,2017_200_-10,2,DNA
2084_M_2017_P33_N200_C_20180429_CABBI,Miscanthus,2017,33,200,-10,Rizosphere,no,2017_200_-10,2,DNA
2085_M_2017_P34_N400_A_20180429_CABBI,Miscanthus,2017,34,400,-10,Rizosphere,no,2017_400_-10,2,DNA
2086_M_2017_P34_N400_B_20180429_CABBI,Miscanthus,2017,34,400,-10,Rizosphere,no,2017_400_-10,2,DNA
2087_M_2017_P34_N400_C_20180429_CABBI,Miscanthus,2017,34,400,-10,Rizosphere,no,2017_400_-10,2,DNA
2088_M_2017_P35_N0_A_20180429_CABBI,Miscanthus,2017,35,0,-10,Rizosphere,no,2017_0_-10,2,DNA
2089_M_2017_P35_N0_B_20180429_CABBI,Miscanthus,2017,35,0,-10,Rizosphere,no,2017_0_-10,2,DNA
2090_M_2017_P35_N0_C_20180429_CABBI,Miscanthus,2017,35,0,-10,Rizosphere,no,2017_0_-10,2,DNA
2091_M_2016_P37_N400_A_20180429_CABBI,Miscanthus,2016,37,400,-10,Rizosphere,no,2016_400_-10,1,DNA
2092_M_2016_P37_N400_B_20180429_CABBI,Miscanthus,2016,37,400,-10,Rizosphere,no,2016_400_-10,1,DNA
2093_M_2016_P37_N400_C_20180429_CABBI,Miscanthus,2016,37,400,-10,Rizosphere,no,2016_400_-10,1,DNA
2094_M_2016_P39_N0_A_20180429_CABBI,Miscanthus,2016,39,0,-10,Rizosphere,no,2016_0_-10,1,DNA
2095_M_2016_P39_N0_B_20180429_CABBI,Miscanthus,2016,39,0,-10,Rizosphere,no,2016_0_-10,1,DNA
2096_M_2016_P39_N0_C_20180429_CABBI,Miscanthus,2016,39,0,-10,Rizosphere,no,2016_0_-10,1,DNA
2098_M_2016_P40_N200_B_20180429_CABBI,Miscanthus,2016,40,200,-10,Rizosphere,no,2016_200_-10,1,DNA
2099_M_2016_P40_N200_C_20180429_CABBI,Miscanthus,2016,40,200,-10,Rizosphere,no,2016_200_-10,1,DNA
2100_M_2015_P43_N200_A_20180429_CABBI,Miscanthus,2015,43,200,-10,Rizosphere,no,2015_200_-10,1,DNA
2101_M_2015_P43_N200_B_20180429_CABBI,Miscanthus,2015,43,200,-10,Rizosphere,no,2015_200_-10,1,DNA
2103_M_2015_P44_N0_A_20180429_CABBI,Miscanthus,2015,44,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2104_M_2015_P44_N0_B_20180429_CABBI,Miscanthus,2015,44,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2105_M_2015_P44_N0_C_20180429_CABBI,Miscanthus,2015,44,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2106_M_2015_P45_N400_A_20180429_CABBI,Miscanthus,2015,45,400,-10,Rizosphere,no,2015_400_-10,1,DNA
2108_M_2015_P45_N400_C_20180429_CABBI,Miscanthus,2015,45,400,-10,Rizosphere,no,2015_400_-10,1,DNA
2109_C_2018_P33_N200_A_20180429_CABBI,Corn,2018,33,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2110_C_2018_P33_N200_B_20180429_CABBI,Corn,2018,33,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2111_C_2018_P33_N200_C_20180429_CABBI,Corn,2018,33,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2112_C_2018_P34_N300_A_20180429_CABBI,Corn,2018,34,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2113_C_2018_P34_N300_B_20180429_CABBI,Corn,2018,34,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2114_C_2018_P34_N300_C_20180429_CABBI,Corn,2018,34,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2115_C_2018_P35_N0_A_20180429_CABBI,Corn,2018,35,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2116_C_2018_P35_N0_B_20180429_CABBI,Corn,2018,35,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2117_C_2018_P35_N0_C_20180429_CABBI,Corn,2018,35,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2118_C_2018_P37_N300_A_20180429_CABBI,Corn,2018,37,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2119_C_2018_P37_N300_B_20180429_CABBI,Corn,2018,37,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2120_C_2018_P37_N300_C_20180429_CABBI,Corn,2018,37,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2121_C_2018_P39_N0_A_20180429_CABBI,Corn,2018,39,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2122_C_2018_P39_N0_B_20180429_CABBI,Corn,2018,39,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2123_C_2018_P39_N0_C_20180429_CABBI,Corn,2018,39,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2124_C_2018_P40_N200_A_20180429_CABBI,Corn,2018,40,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2126_C_2018_P40_N200_C_20180429_CABBI,Corn,2018,40,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2127_C_2018_P43_N200_A_20180429_CABBI,Corn,2018,43,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2128_C_2018_P43_N200_B_20180429_CABBI,Corn,2018,43,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2129_C_2018_P43_N200_C_20180429_CABBI,Corn,2018,43,200,-10,Rizosphere,no,2018_200_-10,3,DNA
2130_C_2018_P44_N0_A_20180429_CABBI,Corn,2018,44,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2131_C_2018_P44_N0_B_20180429_CABBI,Corn,2018,44,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2132_C_2018_P44_N0_C_20180429_CABBI,Corn,2018,44,0,-10,Rizosphere,no,2018_0_-10,3,DNA
2133_C_2018_P45_N300_A_20180429_CABBI,Corn,2018,45,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2134_C_2018_P45_N300_B_20180429_CABBI,Corn,2018,45,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2135_C_2018_P45_N300_C_20180429_CABBI,Corn,2018,45,300,-10,Rizosphere,no,2018_300_-10,3,DNA
2136_M_2017_P46_N0_A_20180429_CABBI,Miscanthus,2017,46,0,-10,Rizosphere,no,2017_0_-10,2,DNA
2137_M_2017_P46_N0_B_20180429_CABBI,Miscanthus,2017,46,0,-10,Rizosphere,no,2017_0_-10,2,DNA
2138_M_2017_P46_N0_C_20180429_CABBI,Miscanthus,2017,46,0,-10,Rizosphere,no,2017_0_-10,2,DNA
2139_M_2017_P48_N400_A_20180429_CABBI,Miscanthus,2017,48,400,-10,Rizosphere,no,2017_400_-10,2,DNA
2140_M_2017_P48_N400_B_20180429_CABBI,Miscanthus,2017,48,400,-10,Rizosphere,no,2017_400_-10,2,DNA
2141_M_2017_P48_N400_C_20180429_CABBI,Miscanthus,2017,48,400,-10,Rizosphere,no,2017_400_-10,2,DNA
2142_M_2017_P50_N200_A_20180429_CABBI,Miscanthus,2017,50,200,-10,Rizosphere,no,2017_200_-10,2,DNA
2143_M_2017_P50_N200_B_20180429_CABBI,Miscanthus,2017,50,200,-10,Rizosphere,no,2017_200_-10,2,DNA
2144_M_2017_P50_N200_C_20180429_CABBI,Miscanthus,2017,50,200,-10,Rizosphere,no,2017_200_-10,2,DNA
2145_M_2015_P53_N400_A_20180429_CABBI,Miscanthus,2015,53,400,-10,Rizosphere,no,2015_400_-10,1,DNA
2146_M_2015_P53_N400_B_20180429_CABBI,Miscanthus,2015,53,400,-10,Rizosphere,no,2015_400_-10,1,DNA
2147_M_2015_P53_N400_C_20180429_CABBI,Miscanthus,2015,53,400,-10,Rizosphere,no,2015_400_-10,1,DNA
2148_M_2015_P54_N200_A_20180429_CABBI,Miscanthus,2015,54,200,-10,Rizosphere,no,2015_200_-10,1,DNA
2149_M_2015_P54_N200_B_20180429_CABBI,Miscanthus,2015,54,200,-10,Rizosphere,no,2015_200_-10,1,DNA
2150_M_2015_P54_N200_C_20180429_CABBI,Miscanthus,2015,54,200,-10,Rizosphere,no,2015_200_-10,1,DNA
2151_M_2015_P55_N0_A_20180429_CABBI,Miscanthus,2015,55,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2152_M_2015_P55_N0_B_20180429_CABBI,Miscanthus,2015,55,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2153_M_2015_P55_N0_C_20180429_CABBI,Miscanthus,2015,55,0,-10,Rizosphere,no,2015_0_-10,1,DNA
2154_M_2016_P56_N0_A_20180429_CABBI,Miscanthus,2016,56,0,-10,Rizosphere,no,2016_0_-10,1,DNA
2155_M_2016_P56_N0_B_20180429_CABBI,Miscanthus,2016,56,0,-10,Rizosphere,no,2016_0_-10,1,DNA
2156_M_2016_P56_N0_C_20180429_CABBI,Miscanthus,2016,56,0,-10,Rizosphere,no,2016_0_-10,1,DNA
2157_M_2016_P58_N400_A_20180429_CABBI,Miscanthus,2016,58,400,-10,Rizosphere,no,2016_400_-10,1,DNA
2158_M_2016_P58_N400_B_20180429_CABBI,Miscanthus,2016,58,400,-10,Rizosphere,no,2016_400_-10,1,DNA
2159_M_2016_P58_N400_C_20180429_CABBI,Miscanthus,2016,58,400,-10,Rizosphere,no,2016_400_-10,1,DNA
2160_M_2016_P60_N200_A_20180429_CABBI,Miscanthus,2016,60,200,-10,Rizosphere,no,2016_200_-10,1,DNA
2161_M_2016_P60_N200_B_20180429_CABBI,Miscanthus,2016,60,200,-10,Rizosphere,no,2016_200_-10,1,DNA
