Samples,Plant,Year,Plot,Nitrogen,Days,Soil,fertilizer,Type,Nucelic
2001_C_2018_N300_P3_A_20180429_RNA_CABBI,Corn,2018,3,300,-10,Rizosphere,no,2018_300_-10,RNA
2002_C_2018_N300_P3_B_20180429_RNA_CABBI,Corn,2018,3,300,-10,Rizosphere,no,2018_300_-10,RNA
2003_C_2018_N300_P3_C_20180429_RNA_CABBI,Corn,2018,3,300,-10,Rizosphere,no,2018_300_-10,RNA
2004_C_2018_N0_P4_A_20180429_RNA_CABBI,Corn,2018,4,0,-10,Rizosphere,no,2018_0_-10,RNA
2005_C_2018_N0_P4_B_20180429_RNA_CABBI,Corn,2018,4,0,-10,Rizosphere,no,2018_0_-10,RNA
2006_C_2018_N0_P4_C_20180429_RNA_CABBI,Corn,2018,4,0,-10,Rizosphere,no,2018_0_-10,RNA
2007_C_2018_N200_P5_A_20180429_RNA_CABBI,Corn,2018,5,200,-10,Rizosphere,no,2018_200_-10,RNA
2008_C_2018_N200_P5_B_20180429_RNA_CABBI,Corn,2018,5,200,-10,Rizosphere,no,2018_200_-10,RNA
2009_C_2018_N200_P5_C_20180429_RNA_CABBI,Corn,2018,5,200,-10,Rizosphere,no,2018_200_-10,RNA
2010_C_2018_N300_P6_A_20180429_RNA_CABBI,Corn,2018,6,300,-10,Rizosphere,no,2018_300_-10,RNA
2011_C_2018_N300_P6_B_20180429_RNA_CABBI,Corn,2018,6,300,-10,Rizosphere,no,2018_300_-10,RNA
2012_C_2018_N300_P6_C_20180429_RNA_CABBI,Corn,2018,6,300,-10,Rizosphere,no,2018_300_-10,RNA
2013_C_2018_N0_P7_A_20180429_RNA_CABBI,Corn,2018,7,0,-10,Rizosphere,no,2018_0_-10,RNA
2014_C_2018_N0_P7_B_20180429_RNA_CABBI,Corn,2018,7,0,-10,Rizosphere,no,2018_0_-10,RNA
2015_C_2018_N0_P7_C_20180429_RNA_CABBI,Corn,2018,7,0,-10,Rizosphere,no,2018_0_-10,RNA
2016_C_2018_N200_P9_A_20180429_RNA_CABBI,Corn,2018,9,200,-10,Rizosphere,no,2018_200_-10,RNA
2017_C_2018_N200_P9_B_20180429_RNA_CABBI,Corn,2018,9,200,-10,Rizosphere,no,2018_200_-10,RNA
2018_C_2018_N200_P9_C_20180429_RNA_CABBI,Corn,2018,9,200,-10,Rizosphere,no,2018_200_-10,RNA
2019_C_2018_N200_P12_A_20180429_RNA_CABBI,Corn,2018,12,200,-10,Rizosphere,no,2018_200_-10,RNA
2020_C_2018_N200_P12_B_20180429_RNA_CABBI,Corn,2018,12,200,-10,Rizosphere,no,2018_200_-10,RNA
2021_C_2018_N200_P12_C_20180429_RNA_CABBI,Corn,2018,12,200,-10,Rizosphere,no,2018_200_-10,RNA
2022_C_2018_N300_P13_A_20180429_RNA_CABBI,Corn,2018,13,300,-10,Rizosphere,no,2018_300_-10,RNA
2023_C_2018_N300_P13_B_20180429_RNA_CABBI,Corn,2018,13,300,-10,Rizosphere,no,2018_300_-10,RNA
2024_C_2018_N300_P13_C_20180429_RNA_CABBI,Corn,2018,13,300,-10,Rizosphere,no,2018_300_-10,RNA
2025_C_2018_N0_P14_A_20180429_RNA_CABBI,Corn,2018,14,0,-10,Rizosphere,no,2018_0_-10,RNA
2026_C_2018_N0_P14_B_20180429_RNA_CABBI,Corn,2018,14,0,-10,Rizosphere,no,2018_0_-10,RNA
2027_C_2018_N0_P14_C_20180429_RNA_CABBI,Corn,2018,14,0,-10,Rizosphere,no,2018_0_-10,RNA
2028_M_2015_N400_P3_A_20180429_RNA_CABBI,Miscanthus,2015,3,400,-10,Rizosphere,no,2015_400_-10,RNA
2029_M_2015_N400_P3_B_20180429_RNA_CABBI,Miscanthus,2015,3,400,-10,Rizosphere,no,2015_400_-10,RNA
2030_M_2015_N400_P3_C_20180429_RNA_CABBI,Miscanthus,2015,3,400,-10,Rizosphere,no,2015_400_-10,RNA
2031_M_2015_N0_P4_A_20180429_RNA_CABBI,Miscanthus,2015,4,0,-10,Rizosphere,no,2015_0_-10,RNA
2032_M_2015_N0_P4_B_20180429_RNA_CABBI,Miscanthus,2015,4,0,-10,Rizosphere,no,2015_0_-10,RNA
2033_M_2015_N0_P4_C_20180429_RNA_CABBI,Miscanthus,2015,4,0,-10,Rizosphere,no,2015_0_-10,RNA
2034_M_2015_N200_P5_A_20180429_RNA_CABBI,Miscanthus,2015,5,200,-10,Rizosphere,no,2015_200_-10,RNA
2035_M_2015_N200_P5_B_20180429_RNA_CABBI,Miscanthus,2015,5,200,-10,Rizosphere,no,2015_200_-10,RNA
2036_M_2015_N200_P5_C_20180429_RNA_CABBI,Miscanthus,2015,5,200,-10,Rizosphere,no,2015_200_-10,RNA
2037_M_2016_N400_P6_A_20180429_RNA_CABBI,Miscanthus,2016,6,400,-10,Rizosphere,no,2016_400_-10,RNA
2038_M_2016_N400_P6_B_20180429_RNA_CABBI,Miscanthus,2016,6,400,-10,Rizosphere,no,2016_400_-10,RNA
2039_M_2016_N400_P6_C_20180429_RNA_CABBI,Miscanthus,2016,6,400,-10,Rizosphere,no,2016_400_-10,RNA
2040_M_2016_N0_P7_A_20180429_RNA_CABBI,Miscanthus,2016,7,0,-10,Rizosphere,no,2016_0_-10,RNA
2041_M_2016_N0_P7_B_20180429_RNA_CABBI,Miscanthus,2016,7,0,-10,Rizosphere,no,2016_0_-10,RNA
2042_M_2016_N0_P7_C_20180429_RNA_CABBI,Miscanthus,2016,7,0,-10,Rizosphere,no,2016_0_-10,RNA
2043_M_2016_N200_P9_A_20180429_RNA_CABBI,Miscanthus,2016,9,200,-10,Rizosphere,no,2016_200_-10,RNA
2044_M_2016_N200_P9_B_20180429_RNA_CABBI,Miscanthus,2016,9,200,-10,Rizosphere,no,2016_200_-10,RNA
2045_M_2016_N200_P9_C_20180429_RNA_CABBI,Miscanthus,2016,9,200,-10,Rizosphere,no,2016_200_-10,RNA
2046_M_2017_N200_P12_A_20180429_RNA_CABBI,Miscanthus,2017,12,200,-10,Rizosphere,no,2017_200_-10,RNA
2047_M_2017_N200_P12_B_20180429_RNA_CABBI,Miscanthus,2017,12,200,-10,Rizosphere,no,2017_200_-10,RNA
2048_M_2017_N200_P12_C_20180429_RNA_CABBI,Miscanthus,2017,12,200,-10,Rizosphere,no,2017_200_-10,RNA
2049_M_2017_N400_P13_A_20180429_RNA_CABBI,Miscanthus,2017,13,400,-10,Rizosphere,no,2017_400_-10,RNA
2050_M_2017_N400_P13_B_20180429_RNA_CABBI,Miscanthus,2017,13,400,-10,Rizosphere,no,2017_400_-10,RNA
2051_M_2017_N400_P13_C_20180429_RNA_CABBI,Miscanthus,2017,13,400,-10,Rizosphere,no,2017_400_-10,RNA
2052_M_2017_N0_P14_A_20180429_RNA_CABBI,Miscanthus,2017,14,0,-10,Rizosphere,no,2017_0_-10,RNA
2053_M_2017_N0_P14_B_20180429_RNA_CABBI,Miscanthus,2017,14,0,-10,Rizosphere,no,2017_0_-10,RNA
2054_M_2017_N0_P14_C_20180429_RNA_CABBI,Miscanthus,2017,14,0,-10,Rizosphere,no,2017_0_-10,RNA
2055_M_2016_N400_P17_A_20180429_RNA_CABBI,Miscanthus,2016,17,400,-10,Rizosphere,no,2016_400_-10,RNA
2056_M_2016_N400_P17_B_20180429_RNA_CABBI,Miscanthus,2016,17,400,-10,Rizosphere,no,2016_400_-10,RNA
2057_M_2016_N400_P17_C_20180429_RNA_CABBI,Miscanthus,2016,17,400,-10,Rizosphere,no,2016_400_-10,RNA
2058_M_2016_N200_P18_A_20180429_RNA_CABBI,Miscanthus,2016,18,200,-10,Rizosphere,no,2016_200_-10,RNA
2059_M_2016_N200_P18_B_20180429_RNA_CABBI,Miscanthus,2016,18,200,-10,Rizosphere,no,2016_200_-10,RNA
2060_M_2016_N200_P18_C_20180429_RNA_CABBI,Miscanthus,2016,18,200,-10,Rizosphere,no,2016_200_-10,RNA
2061_M_2016_N0_P19_A_20180429_RNA_CABBI,Miscanthus,2016,19,0,-10,Rizosphere,no,2016_0_-10,RNA
2062_M_2016_N0_P19_B_20180429_RNA_CABBI,Miscanthus,2016,19,0,-10,Rizosphere,no,2016_0_-10,RNA
2063_M_2016_N0_P19_C_20180429_RNA_CABBI,Miscanthus,2016,19,0,-10,Rizosphere,no,2016_0_-10,RNA
2064_M_2017_N400_P22_A_20180429_RNA_CABBI,Miscanthus,2017,22,400,-10,Rizosphere,no,2017_400_-10,RNA
2065_M_2017_N400_P22_B_20180429_RNA_CABBI,Miscanthus,2017,22,400,-10,Rizosphere,no,2017_400_-10,RNA
2066_M_2017_N400_P22_C_20180429_RNA_CABBI,Miscanthus,2017,22,400,-10,Rizosphere,no,2017_400_-10,RNA
2067_M_2017_N0_P24_A_20180429_RNA_CABBI,Miscanthus,2017,24,0,-10,Rizosphere,no,2017_0_-10,RNA
2068_M_2017_N0_P24_B_20180429_RNA_CABBI,Miscanthus,2017,24,0,-10,Rizosphere,no,2017_0_-10,RNA
2069_M_2017_N0_P24_C_20180429_RNA_CABBI,Miscanthus,2017,24,0,-10,Rizosphere,no,2017_0_-10,RNA
2070_M_2017_N200_P25_A_20180429_RNA_CABBI,Miscanthus,2017,25,200,-10,Rizosphere,no,2017_200_-10,RNA
2071_M_2017_N200_P25_B_20180429_RNA_CABBI,Miscanthus,2017,25,200,-10,Rizosphere,no,2017_200_-10,RNA
2072_M_2017_N200_P25_C_20180429_RNA_CABBI,Miscanthus,2017,25,200,-10,Rizosphere,no,2017_200_-10,RNA
2073_M_2015_N400_P27_A_20180429_RNA_CABBI,Miscanthus,2015,27,400,-10,Rizosphere,no,2015_400_-10,RNA
2074_M_2015_N400_P27_B_20180429_RNA_CABBI,Miscanthus,2015,27,400,-10,Rizosphere,no,2015_400_-10,RNA
2075_M_2015_N400_P27_C_20180429_RNA_CABBI,Miscanthus,2015,27,400,-10,Rizosphere,no,2015_400_-10,RNA
2076_M_2015_N0_P28_A_20180429_RNA_CABBI,Miscanthus,2015,28,0,-10,Rizosphere,no,2015_0_-10,RNA
2077_M_2015_N0_P28_B_20180429_RNA_CABBI,Miscanthus,2015,28,0,-10,Rizosphere,no,2015_0_-10,RNA
2078_M_2015_N0_P28_C_20180429_RNA_CABBI,Miscanthus,2015,28,0,-10,Rizosphere,no,2015_0_-10,RNA
2079_M_2015_N200_P30_A_20180429_RNA_CABBI,Miscanthus,2015,30,200,-10,Rizosphere,no,2015_200_-10,RNA
2080_M_2015_N200_P30_B_20180429_RNA_CABBI,Miscanthus,2015,30,200,-10,Rizosphere,no,2015_200_-10,RNA
2081_M_2015_N200_P30_C_20180429_RNA_CABBI,Miscanthus,2015,30,200,-10,Rizosphere,no,2015_200_-10,RNA
2082_M_2017_N200_P33_A_20180429_RNA_CABBI,Miscanthus,2017,33,200,-10,Rizosphere,no,2017_200_-10,RNA
2083_M_2017_N200_P33_B_20180429_RNA_CABBI,Miscanthus,2017,33,200,-10,Rizosphere,no,2017_200_-10,RNA
2084_M_2017_N200_P33_C_20180429_RNA_CABBI,Miscanthus,2017,33,200,-10,Rizosphere,no,2017_200_-10,RNA
2085_M_2017_N400_P34_A_20180429_RNA_CABBI,Miscanthus,2017,34,400,-10,Rizosphere,no,2017_400_-10,RNA
2086_M_2017_N400_P34_B_20180429_RNA_CABBI,Miscanthus,2017,34,400,-10,Rizosphere,no,2017_400_-10,RNA
2087_M_2017_N400_P34_C_20180429_RNA_CABBI,Miscanthus,2017,34,400,-10,Rizosphere,no,2017_400_-10,RNA
2088_M_2017_N0_P35_A_20180429_RNA_CABBI,Miscanthus,2017,35,0,-10,Rizosphere,no,2017_0_-10,RNA
2089_M_2017_N0_P35_B_20180429_RNA_CABBI,Miscanthus,2017,35,0,-10,Rizosphere,no,2017_0_-10,RNA
2090_M_2017_N0_P35_C_20180429_RNA_CABBI,Miscanthus,2017,35,0,-10,Rizosphere,no,2017_0_-10,RNA
2091_M_2016_N400_P37_A_20180429_RNA_CABBI,Miscanthus,2016,37,400,-10,Rizosphere,no,2016_400_-10,RNA
2092_M_2016_N400_P37_B_20180429_RNA_CABBI,Miscanthus,2016,37,400,-10,Rizosphere,no,2016_400_-10,RNA
2093_M_2016_N400_P37_C_20180429_RNA_CABBI,Miscanthus,2016,37,400,-10,Rizosphere,no,2016_400_-10,RNA
2094_M_2016_N0_P39_A_20180429_RNA_CABBI,Miscanthus,2016,39,0,-10,Rizosphere,no,2016_0_-10,RNA
2095_M_2016_N0_P39_B_20180429_RNA_CABBI,Miscanthus,2016,39,0,-10,Rizosphere,no,2016_0_-10,RNA
2096_M_2016_N0_P39_C_20180429_RNA_CABBI,Miscanthus,2016,39,0,-10,Rizosphere,no,2016_0_-10,RNA
2098_M_2016_N200_P40_B_20180429_RNA_CABBI,Miscanthus,2016,40,200,-10,Rizosphere,no,2016_200_-10,RNA
2099_M_2016_N200_P40_C_20180429_RNA_CABBI,Miscanthus,2016,40,200,-10,Rizosphere,no,2016_200_-10,RNA
2100_M_2015_N200_P43_A_20180429_RNA_CABBI,Miscanthus,2015,43,200,-10,Rizosphere,no,2015_200_-10,RNA
2101_M_2015_N200_P43_B_20180429_RNA_CABBI,Miscanthus,2015,43,200,-10,Rizosphere,no,2015_200_-10,RNA
2103_M_2015_N0_P44_A_20180429_RNA_CABBI,Miscanthus,2015,44,0,-10,Rizosphere,no,2015_0_-10,RNA
2104_M_2015_N0_P44_B_20180429_RNA_CABBI,Miscanthus,2015,44,0,-10,Rizosphere,no,2015_0_-10,RNA
2105_M_2015_N0_P44_C_20180429_RNA_CABBI,Miscanthus,2015,44,0,-10,Rizosphere,no,2015_0_-10,RNA
2106_M_2015_N400_P45_A_20180429_RNA_CABBI,Miscanthus,2015,45,400,-10,Rizosphere,no,2015_400_-10,RNA
2108_M_2015_N400_P45_C_20180429_RNA_CABBI,Miscanthus,2015,45,400,-10,Rizosphere,no,2015_400_-10,RNA
2109_C_2018_N200_P33_A_20180429_RNA_CABBI,Corn,2018,33,200,-10,Rizosphere,no,2018_200_-10,RNA
2110_C_2018_N200_P33_B_20180429_RNA_CABBI,Corn,2018,33,200,-10,Rizosphere,no,2018_200_-10,RNA
2111_C_2018_N200_P33_C_20180429_RNA_CABBI,Corn,2018,33,200,-10,Rizosphere,no,2018_200_-10,RNA
2112_C_2018_N300_P34_A_20180429_RNA_CABBI,Corn,2018,34,300,-10,Rizosphere,no,2018_300_-10,RNA
2113_C_2018_N300_P34_B_20180429_RNA_CABBI,Corn,2018,34,300,-10,Rizosphere,no,2018_300_-10,RNA
2114_C_2018_N300_P34_C_20180429_RNA_CABBI,Corn,2018,34,300,-10,Rizosphere,no,2018_300_-10,RNA
2115_C_2018_N0_P35_A_20180429_RNA_CABBI,Corn,2018,35,0,-10,Rizosphere,no,2018_0_-10,RNA
2116_C_2018_N0_P35_B_20180429_RNA_CABBI,Corn,2018,35,0,-10,Rizosphere,no,2018_0_-10,RNA
2117_C_2018_N0_P35_C_20180429_RNA_CABBI,Corn,2018,35,0,-10,Rizosphere,no,2018_0_-10,RNA
2118_C_2018_N300_P37_A_20180429_RNA_CABBI,Corn,2018,37,300,-10,Rizosphere,no,2018_300_-10,RNA
2119_C_2018_N300_P37_B_20180429_RNA_CABBI,Corn,2018,37,300,-10,Rizosphere,no,2018_300_-10,RNA
2120_C_2018_N300_P37_C_20180429_RNA_CABBI,Corn,2018,37,300,-10,Rizosphere,no,2018_300_-10,RNA
2121_C_2018_N0_P39_A_20180429_RNA_CABBI,Corn,2018,39,0,-10,Rizosphere,no,2018_0_-10,RNA
2122_C_2018_N0_P39_B_20180429_RNA_CABBI,Corn,2018,39,0,-10,Rizosphere,no,2018_0_-10,RNA
2123_C_2018_N0_P39_C_20180429_RNA_CABBI,Corn,2018,39,0,-10,Rizosphere,no,2018_0_-10,RNA
2124_C_2018_N200_P40_A_20180429_RNA_CABBI,Corn,2018,40,200,-10,Rizosphere,no,2018_200_-10,RNA
2126_C_2018_N200_P40_C_20180429_RNA_CABBI,Corn,2018,40,200,-10,Rizosphere,no,2018_200_-10,RNA
2127_C_2018_N200_P43_A_20180429_RNA_CABBI,Corn,2018,43,200,-10,Rizosphere,no,2018_200_-10,RNA
2128_C_2018_N200_P43_B_20180429_RNA_CABBI,Corn,2018,43,200,-10,Rizosphere,no,2018_200_-10,RNA
2129_C_2018_N200_P43_C_20180429_RNA_CABBI,Corn,2018,43,200,-10,Rizosphere,no,2018_200_-10,RNA
2130_C_2018_N0_P44_A_20180429_RNA_CABBI,Corn,2018,44,0,-10,Rizosphere,no,2018_0_-10,RNA
2131_C_2018_N0_P44_B_20180429_RNA_CABBI,Corn,2018,44,0,-10,Rizosphere,no,2018_0_-10,RNA
2132_C_2018_N0_P44_C_20180429_RNA_CABBI,Corn,2018,44,0,-10,Rizosphere,no,2018_0_-10,RNA
2133_C_2018_N300_P45_A_20180429_RNA_CABBI,Corn,2018,45,300,-10,Rizosphere,no,2018_300_-10,RNA
2134_C_2018_N300_P45_B_20180429_RNA_CABBI,Corn,2018,45,300,-10,Rizosphere,no,2018_300_-10,RNA
2135_C_2018_N300_P45_C_20180429_RNA_CABBI,Corn,2018,45,300,-10,Rizosphere,no,2018_300_-10,RNA
2136_M_2017_N0_P46_A_20180429_RNA_CABBI,Miscanthus,2017,46,0,-10,Rizosphere,no,2017_0_-10,RNA
2137_M_2017_N0_P46_B_20180429_RNA_CABBI,Miscanthus,2017,46,0,-10,Rizosphere,no,2017_0_-10,RNA
2138_M_2017_N0_P46_C_20180429_RNA_CABBI,Miscanthus,2017,46,0,-10,Rizosphere,no,2017_0_-10,RNA
2139_M_2017_N400_P48_A_20180429_RNA_CABBI,Miscanthus,2017,48,400,-10,Rizosphere,no,2017_400_-10,RNA
2140_M_2017_N400_P48_B_20180429_RNA_CABBI,Miscanthus,2017,48,400,-10,Rizosphere,no,2017_400_-10,RNA
2141_M_2017_N400_P48_C_20180429_RNA_CABBI,Miscanthus,2017,48,400,-10,Rizosphere,no,2017_400_-10,RNA
2142_M_2017_N200_P50_A_20180429_RNA_CABBI,Miscanthus,2017,50,200,-10,Rizosphere,no,2017_200_-10,RNA
2143_M_2017_N200_P50_B_20180429_RNA_CABBI,Miscanthus,2017,50,200,-10,Rizosphere,no,2017_200_-10,RNA
2144_M_2017_N200_P50_C_20180429_RNA_CABBI,Miscanthus,2017,50,200,-10,Rizosphere,no,2017_200_-10,RNA
2145_M_2015_N400_P53_A_20180429_RNA_CABBI,Miscanthus,2015,53,400,-10,Rizosphere,no,2015_400_-10,RNA
2146_M_2015_N400_P53_B_20180429_RNA_CABBI,Miscanthus,2015,53,400,-10,Rizosphere,no,2015_400_-10,RNA
2147_M_2015_N400_P53_C_20180429_RNA_CABBI,Miscanthus,2015,53,400,-10,Rizosphere,no,2015_400_-10,RNA
2148_M_2015_N200_P54_A_20180429_RNA_CABBI,Miscanthus,2015,54,200,-10,Rizosphere,no,2015_200_-10,RNA
2149_M_2015_N200_P54_B_20180429_RNA_CABBI,Miscanthus,2015,54,200,-10,Rizosphere,no,2015_200_-10,RNA
2150_M_2015_N200_P54_C_20180429_RNA_CABBI,Miscanthus,2015,54,200,-10,Rizosphere,no,2015_200_-10,RNA
2151_M_2015_N0_P55_A_20180429_RNA_CABBI,Miscanthus,2015,55,0,-10,Rizosphere,no,2015_0_-10,RNA
2152_M_2015_N0_P55_B_20180429_RNA_CABBI,Miscanthus,2015,55,0,-10,Rizosphere,no,2015_0_-10,RNA
2153_M_2015_N0_P55_C_20180429_RNA_CABBI,Miscanthus,2015,55,0,-10,Rizosphere,no,2015_0_-10,RNA
2154_M_2016_N0_P56_A_20180429_RNA_CABBI,Miscanthus,2016,56,0,-10,Rizosphere,no,2016_0_-10,RNA
2155_M_2016_N0_P56_B_20180429_RNA_CABBI,Miscanthus,2016,56,0,-10,Rizosphere,no,2016_0_-10,RNA
2156_M_2016_N0_P56_C_20180429_RNA_CABBI,Miscanthus,2016,56,0,-10,Rizosphere,no,2016_0_-10,RNA
2157_M_2016_N400_P58_A_20180429_RNA_CABBI,Miscanthus,2016,58,400,-10,Rizosphere,no,2016_400_-10,RNA
2158_M_2016_N400_P58_B_20180429_RNA_CABBI,Miscanthus,2016,58,400,-10,Rizosphere,no,2016_400_-10,RNA
2159_M_2016_N400_P58_C_20180429_RNA_CABBI,Miscanthus,2016,58,400,-10,Rizosphere,no,2016_400_-10,RNA
2160_M_2016_N200_P60_A_20180429_RNA_CABBI,Miscanthus,2016,60,200,-10,Rizosphere,no,2016_200_-10,RNA
2161_M_2016_N200_P60_B_20180429_RNA_CABBI,Miscanthus,2016,60,200,-10,Rizosphere,no,2016_200_-10,RNA
2162_M_2016_N200_P60_C_20180429_RNA_CABBI,Miscanthus,2016,60,200,-10,Rizosphere,no,2016_200_-10,RNA
